Comment,Designator,Footprint,JLCPCB Part #
TYPE-C 16PIN 2MD,USB1, USB-C-SMD_TYPE-C-16PIN-2MD-073,C2765186
SRV05-4A,"U11,U12,U13,U14,U15,U16,U17,U18", SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,C20615829
Memory Chip,U8, SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,C97521
TC4428EOA713-TUDI,U1,SOP-8,TC4428EOA713-TUDI
TPS5430DDAR,U6, ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,C9864
ZX-IDC2.54-2-13PZZ,U4, IDC-TH_26P-P2.54_ZX-IDC2.54-2-13PZZ,C7501247
TS-1088-AR02016,SW1, SW-SMD_L3.9-W3.0-P4.45,C720477
0603WAF750JT5E,R36, R0603,C4275
5.1k,"R22,R23", R0603,C23186
100k,"R19,R20,R45,R47", R0603,C25803
1k,"R10,R16,R18,R21,R32,R33,R34,R35,R37,R38,R39,R60,R62,R64,R66,R68,R70,R72,R74", R0603,C21190
33,"R7,R9,R11,R12,R13,R15,R29,R43,R46", R0603,C23140
22,"R6,R8", R0603,C23345
50,R5, R0603,C23185
560,R4, R0603,C23204
300,R3, R0603,C23025
5k6,R2, R0603,C23189
10k,"R1,R14,R17,R24,R25,R26,R27,R28,R30,R31,R61,R63,R65,R67,R69,R71,R73,R75",R0805,C17414
AO3400A,"Q7,Q10,Q11,Q12,Q13,Q14,Q15,Q16", SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C20917
ZHT103,L3, IND-TH_L18.2-W10.2-P12.00-D0.9_ZHT103,C2935356
SL0650-150M,L2, IND-SMD_L7.0-W6.6,C22463830
1N4007W,"D20,D27,D28,D29,D30,D31,D32,D33,D34", SOD-123FL_L2.7-W1.8-LS3.8-RD,C18199088
SD15,D4, SOD-323_L1.7-W1.3-LS2.6-RD,C2931147
SS34,D2, SMA_L4.3-W2.6-LS5.2-RD,C8678
SMF15A,"D1,D3,D5,D6,D7,D8,D9,D10,D11,D12", SOD-123FL_L2.7-W1.8-LS3.8-RD,C19077509
100nF,C20, C0603,C66501
22uF - X5R,C10, C1206,C12891
1500pF,C8, C0603,C1595
150pF,"C7,C14", C0603,C1594
10uF,"C6,C12", C0805,C15850
100nF,"C4,C5,C15", C0402,C1525
47uF X5R,"C3,C9,C11", C1206,C96123
10nF,C2, C0603,C57112
4.7uF - X7R,"C1,C13", C1206,C29823
