Designator,Mid X,Mid Y,Rotation,Layer
C1,116.1,-84.89,-90,top
C2,107.61,-79.03,-90,top
C3,95.44,-83.6,-90,top
C4,105.37,-86.69,0,top
C5,98.58,-64.73,180,top
C6,99.58,-62.73,180,top
C7,105.89,-88.89,90,top
C8,105.03,-83.06,180,top
C9,98.04,-83.6,-90,top
C10,93.604625,-108.94,90,top
C11,100.64,-83.6,-90,top
C12,120.134625,-74.18,90,top
C13,89.97,-112.66,-90,top
C14,125.484625,-125.18,90,top
C15,91.49,-107.42,90,top
C20,80.695375,-95.207687,-90,top
D1,146.64,-131.96,-90,top
D2,110.26,-78.44,-90,top
D3,147,-127.07,90,top
D4,86.014625,-41.912627,0,top
D5,162.4,-112.2,-90,top
D6,141.55,-37.92,180,top
D7,141.56,-47.12,180,top
D8,162.2,-119.2,-90,top
D9,147.2,-102.8,-90,top
D10,147,-110.27,-90,top
D11,147,-118.2,-90,top
D12,147,-95.2,-90,top
D20,106,-61.8,0,top
D27,82.364625,-64.512627,0,top
D28,82.364625,-51.812627,0,top
D29,73.564625,-60.407627,0,top
D30,73.564625,-73.093574,0,top
D31,82.360023,-77.594648,0,top
D32,73.564625,-47.612627,0,top
D33,81.714625,-39.512627,0,top
D34,92.114625,-49.212627,0,top
L2,101.94,-77.07,180,top
L3,121,-63.08,0,top
Q7,82.364625,-67.512627,-90,top
Q10,82.364625,-54.812627,-90,top
Q11,73.564625,-63.407627,-90,top
Q12,73.564625,-76.093574,-90,top
Q13,82.360023,-80.594648,-90,top
Q14,73.564625,-50.612627,-90,top
Q15,81.814625,-42.312627,-90,top
Q16,92.114625,-52.212627,-90,top
R2,108.35,-88.24,180,top
R3,109.15,-90.58,90,top
R4,103.48,-88.12,0,top
R5,123.934625,-70.83,90,top
R6,90.41,-128.95,0,top
R7,115.334625,-117.48,0,top
R8,90.38,-130.48,0,top
R9,115.334625,-115.78,0,top
R10,112.935,-113.135,90,top
R11,89.004625,-124.44,0,top
R12,89.004625,-117.84,0,top
R13,89.004625,-119.44,0,top
R15,83.934625,-106.58,-90,top
R16,160.35,-37.8,0,top
R18,154,-124.25,-90,top
R19,118.23,-122.08,180,top
R20,118.534625,-119.08,180,top
R21,131.57,-52.68,-90,top
R22,79.284625,-114.435,90,top
R23,79.284625,-122.985,-90,top
R29,79.634625,-104.58,0,top
R32,165.37,-115.41,180,top
R33,150.6,-115.07,0,top
R34,150.6,-107.47,0,top
R35,150.6,-99.53,0,top
R36,161.8,-105.8,90,top
R37,150.6,-92,0,top
R38,166.4,-122.4,0,top
R39,164.45,-38,180,top
R40,83.32,-71.22,90,top
R41,83.33,-58.38,90,top
R42,74.63,-67.21,90,top
R43,89.004625,-122.74,0,top
R44,74.78,-79.83,90,top
R45,122.234625,-73.88,90,top
R46,89.02,-127.42,0,top
R47,123.934625,-73.93,-90,top
R48,83.32,-84.41,90,top
R49,74.51,-54.33,90,top
R50,82.87,-45.94,90,top
R51,93.1,-56.06,90,top
R52,104.55,-85.08,180,top
R53,114.69,-131.63,-90,top
R54,87.73,-112.67,-90,top
R55,107.02,-110.78,0,top
R56,102.7,-110.2,180,top
R57,86.13,-106.53,-90,top
R59,114.59,-120.03,0,top
R60,81.414625,-71.112627,90,top
R61,114.51,-122.46,0,top
R62,81.414625,-58.412627,90,top
R63,156.59,-88.11,180,top
R64,72.614625,-67.007627,90,top
R66,72.614625,-79.693574,90,top
R68,81.410023,-84.194648,90,top
R70,72.614625,-54.212627,90,top
R72,80.914625,-45.712627,90,top
R74,91.164625,-55.812627,90,top
SW1,124.4,-130.98,90,top
U1,96.0325,-68.46,90,top
U4,115.54,-102.53,180,top
U6,110.3,-84.68,0,top
U8,84.484625,-99.93,0,top
U11,149.6,-64,-90,top
U12,161.4,-96.05,0,top
U13,150.6,-59.45,90,top
U14,76.934625,-109.98,180,top
U15,150.4,-70,0,top
U16,80.87,-118.21,180,top
U17,122.484625,-125.68,180,top
U18,79.284625,-100.33,180,top
USB1,74.767125,-118.635,-90,top
